Question #,Question,Trait,Answer Option,Score,Notes
1,How do you handle a mistake at work?,Coachability,"Takes full ownership, identifies root cause, corrects it",5,Best answer
1,,,"Acknowledges it, apologizes, moves on",4,Good
1,,,Tries to fix it quietly,3,Neutral
1,,,Minimizes or deflects,2,Concern
1,,,Blames others,1,Disqualifying pattern
2,How do you stay dependable when things get busy?,Dependability,"Clear systems, never misses commitments, communicates proactively",5,Best answer
2,,,"Works harder, stays focused",4,Good
2,,,Does what is needed,3,Neutral
2,,,Sometimes struggles under pressure,2,Concern
2,,,Avoids or shuts down,1,Disqualifying pattern
3,Coworker is having a rough day and it affects the team. What do you do?,Teamwork,"Checks in privately, supports them, protects team energy",5,Best answer
3,,,Tries to help or give space,4,Good
3,,,Stays out of it,3,Neutral
3,,,Gets frustrated with them,2,Concern
3,,,Complains or escalates unnecessarily,1,Disqualifying pattern
4,Customer is upset about something not your fault. What do you do?,Communication,"Empathizes, owns the experience, resolves or escalates correctly",5,Best answer
4,,,"Stays calm, listens, tries to help",4,Good
4,,,Explains it is not their fault,3,Neutral
4,,,Gets defensive,2,Concern
4,,,Argues or dismisses the customer,1,Disqualifying pattern
5,How quickly do you pick up new processes or software?,Adaptability,"Actively seeks out how things work, self-teaches, asks smart questions",5,Best answer
5,,,Picks things up quickly with guidance,4,Good
5,,,Takes time but gets there,3,Neutral
5,,,Prefers not to change tools,2,Concern
5,,,Resistant to new systems,1,Disqualifying pattern
6,How important is it to follow a set process even when you disagree?,Culture Fit,"Follows process, raises concerns through right channel, trusts the system",5,Best answer
6,,,Follows it even if frustrated,4,Good
6,,,Follows it most of the time,3,Neutral
6,,,Does it their own way if they think it is better,2,Concern
6,,,Ignores processes they disagree with,1,Disqualifying pattern
7,What does a great day at work look like to you?,Positivity,"Describes helping others, hitting goals, team wins, good communication",5,Best answer
7,,,"Busy, productive, finished strong",4,Good
7,,,"Easy day, no problems",3,Neutral
7,,,"Describes individual tasks only, no team awareness",2,Concern
7,,,Focuses on leaving on time or avoiding conflict,1,Disqualifying pattern
8,How do you prefer to receive feedback from a manager?,Coachability,"Direct, specific, timely — welcomes it as growth",5,Best answer
8,,,Privately and respectfully,4,Good
8,,,Does not have a strong preference,3,Neutral
8,,,Prefers minimal feedback,2,Concern
8,,,Gets defensive when corrected,1,Disqualifying pattern